name,_cell_length_a,_cell_length_b,_cell_length_c,_cell_angle_alpha,_cell_angle_beta,_cell_angle_gamma,lcd,pld,void_fraction,surface_area_m2g,surface_area_m2cm3,number_H,number_C,number_N,number_O,number_F,number_Cl,number_V,number_Cu,number_Zn,number_Br,number_Zr,adsorption,number_Metal,number_1,number_2
hMOF-5076057,9.065215,19.188925,17.666332,90.010202,90.00418,84.078623,6.75,5.75,0.60038,2158.8,1866,32,64,20,16,0,0,0,4,0,0,0,1.93677,4,20,96
hMOF-5065998,14.519709,14.04422,12.99646,89.993022,90.000034,88.434511,15.25,13.75,0.873268,5749,1893,2,20,2,8,0,0,0,2,0,0,0,0.237714,2,10,22
hMOF-5018045,12.759401,18.050589,12.759393,89.969175,89.98262,90.028382,10.25,9.25,0.794058,4303.9,2398.3,24,41,0,13,0,0,0,0,4,0,0,1.27137,4,17,65
hMOF-6004213,6.8179,11.102288,19.453114,94.505586,101.709288,108.605689,7.75,7.25,0.688319,2357.8,1879.9,14,25,4,11,0,0,2,0,0,0,0,1.64037,2,13,39
hMOF-31176,10.65455,10.723023,9.130313,89.996488,89.999724,84.476239,6.25,5.25,0.545343,1575.7,1606.8,30,27,2,8,0,0,0,2,0,0,0,3.00907,2,10,57
hMOF-5004512,13.033293,16.625545,13.032268,97.146495,89.079182,97.195104,6.75,5.25,0.566508,2151.1,1952.7,28,46,0,26,0,0,0,0,8,0,0,2.15349,8,34,74
hMOF-5069610,10.489741,10.489716,7.540329,90.000441,89.99973,84.534155,5.25,4.25,0.378059,673.6,806.3,16,20,6,8,0,0,0,2,0,0,0,0.774862,2,10,36
hMOF-5037704,14.519709,12.811438,11.892095,80.666371,86.09745,96.136921,10.25,9.25,0.766043,3233.3,2099.2,26,35,2,15,0,0,0,0,2,0,0,1.31028,2,17,61
hMOF-36737,14.853569,14.853567,9.198806,89.999639,90.001722,83.635248,2.75,2.25,0.0195295,0,0,20,76,4,16,0,20,0,4,0,0,0,0,4,20,96
hMOF-5038197,11.792254,14.519731,10.868271,89.99388,89.995741,83.943725,5.25,4.25,0.616368,2758.4,2370.9,0,32,4,16,0,0,0,0,4,0,0,0.904889,4,20,32
hMOF-6000539,6.8179,7.190401,12.200722,91.280454,107.14092,60.610757,5.25,4.25,0.524349,1922.4,2319.8,0,8,0,10,0,0,2,0,0,0,0,1.12652,2,12,8
hMOF-1003646,20.016444,14.560438,20.016444,60.000278,90.002955,60.002114,7.75,6.75,0.594522,1729.3,1829.7,23,86,0,32,27,0,0,0,0,0,6,3.17509,6,38,109
hMOF-5986,11.169417,12.827892,11.169409,89.966972,89.979436,90.01627,3.75,2.75,0.383023,148.2,205,6,30,2,26,0,0,0,0,8,0,0,1.91701,8,34,36
hMOF-5026923,25.639239,21.395362,21.395355,89.95606,89.980666,90.054564,8.25,5.75,0.781995,4784.6,2749.1,72,136,92,34,0,0,0,0,8,0,0,1.29135,8,42,208
hMOF-5077637,14.519709,19.18893,12.99646,89.988736,90.000034,83.412464,11.25,9.75,0.779806,4250,2087.4,28,58,6,8,0,0,0,2,0,0,0,0.475713,2,10,86
hMOF-2599,19.805407,19.805405,12.759393,89.962372,89.979138,90.023727,16.25,15.25,0.831022,4552.6,1776.7,34,42,12,13,0,0,0,0,4,0,0,0.645812,4,17,76
hMOF-5061831,16.992694,12.99646,14.519731,89.988498,92.821461,89.999814,5.75,4.75,0.679948,3583.4,2554.8,32,60,8,16,0,0,0,4,0,0,0,2.39488,4,20,92
hMOF-5007393,16.12049,16.120484,12.827885,87.136072,92.917123,90.1641,6.75,5.25,0.701034,3767,2896.6,24,48,0,26,0,0,0,0,8,0,0,1.60182,8,34,72
hMOF-5037629,13.596369,12.837943,12.78489,83.967749,89.999966,89.994445,12.25,11.25,0.82649,2737.9,1947.7,8,28,2,8,0,0,0,0,2,4,0,0.636492,2,10,36
hMOF-5022054,12.645331,19.121063,12.645323,92.408124,89.977324,92.46798,11.75,10.75,0.794906,3920.7,1997,34,36,0,13,0,0,0,0,4,0,0,0.996083,4,17,70
hMOF-5016213,12.759401,18.05059,12.759393,90.034679,90.019676,90.018979,10.75,9.75,0.809131,3944.2,2408.4,11,30,0,13,0,0,0,0,4,3,0,0.51984,4,17,41
hMOF-18514,19.288864,17.699083,18.366186,89.992864,89.977106,83.20963,5.25,4.25,0.466187,882.9,949.2,48,204,54,24,0,0,0,0,6,0,0,3.4572,6,30,252
hMOF-5080700,15.944551,23.532407,14.421503,89.999621,89.996859,83.173708,13.75,12.75,0.840808,5465.5,2067.3,16,60,12,12,0,0,0,2,0,0,0,0.422028,2,14,76
hMOF-5003482,18.215407,16.625546,18.215399,89.970824,89.980167,90.022916,6.25,3.25,0.501807,1215.2,1462.8,16,128,0,52,0,16,0,0,16,0,0,3.14549,16,68,144
hMOF-5036453,16.109302,14.519731,15.186229,89.99527,89.994701,83.575317,6.25,4.75,0.485467,1286.1,1224.1,56,116,4,16,0,0,0,0,4,0,0,4.0732,4,20,172
hMOF-5031800,29.839134,29.839131,12.759387,89.962744,89.965041,90.034165,10.25,8.75,0.812132,3155.7,2136,50,184,8,42,0,30,0,0,8,0,0,1.81375,8,50,234
hMOF-5022979,21.395362,21.295417,21.395355,89.978549,89.95606,90.046383,6.75,5.25,0.517683,1540.2,1526.3,128,224,16,108,0,0,0,0,16,0,0,2.2161,16,124,352
hMOF-5046533,9.065218,15.944551,8.140239,89.99553,89.997198,84.257312,2.25,1.75,0.00491918,0,0,15,54,6,24,3,0,0,0,6,0,0,0,6,30,69
hMOF-5065873,14.04422,14.044191,12.503552,86.157523,86.157908,86.809673,6.25,4.75,0.605416,2908.5,2262.8,18,40,10,16,0,0,0,4,0,0,0,0.95169,4,20,58
hMOF-11552,21.395362,21.395364,21.395355,89.974702,90.019906,89.9558,23.25,21.75,0.900777,4817.6,1281,17,60,0,13,19,0,0,0,4,0,0,1.77215,4,17,77
hMOF-5000023,12.759401,13.897447,13.897449,90.007994,90.001962,90.019956,5.25,4.25,0.636771,2717.7,2614.1,8,40,0,26,0,0,0,0,8,0,0,3.37439,8,34,48
hMOF-5058310,27.731996,16.098538,17.038272,87.069734,86.866472,92.693548,6.75,4.75,0.573114,1076.8,1318.5,51,198,12,36,0,57,0,0,6,0,0,4.36849,6,42,249
hMOF-5048696,15.944545,15.944564,15.021413,89.997162,89.995468,96.499946,0.75,0.25,0.0116508,0,0,48,152,8,32,0,24,0,0,8,0,0,0,8,40,200
hMOF-35814,16.974897,13.33907,15.455313,93.394339,83.67522,99.482345,13.25,12.25,0.770197,3554.2,2012.3,11,53,19,8,0,0,0,2,0,0,0,0.555619,2,10,64
hMOF-1003485,21.606444,12.970454,12.970454,89.998717,59.998167,60.001467,8.75,3.25,0.447022,685.1,995.9,18,66,0,32,20,0,0,0,0,0,6,2.71612,6,38,84
hMOF-5073292,14.04422,14.421503,14.04422,90.003696,86.811122,90.003446,9.75,8.75,0.756176,5103.6,2499.8,34,38,2,12,0,0,0,2,0,0,0,0.736487,2,14,72
hMOF-36517,14.853567,17.699083,16.176319,90.004302,89.999649,83.458972,5.25,4.75,0.652086,1086.8,1812.9,16,92,4,16,0,0,0,4,0,32,0,3.50788,4,20,108
hMOF-16665,17.640112,17.64028,17.640968,65.682561,92.13908,92.184069,8.25,4.75,0.632729,1421.6,1674.7,46,120,0,26,0,0,0,0,8,14,0,3.62049,8,34,166
hMOF-5013127,16.625548,18.101395,16.625539,89.972352,89.979432,90.032172,16.25,15.25,0.882098,5473.6,1835.2,36,42,0,13,0,0,0,0,4,0,0,0.662214,4,17,78
hMOF-5021496,16.959455,19.121063,19.121278,90.135726,87.574851,92.465894,8.75,5.25,0.728768,3142.5,2315.6,34,122,22,26,0,0,0,0,8,0,0,2.10597,8,34,156
hMOF-5049807,17.019282,17.019234,11.892095,90.014016,89.97598,83.651806,10.75,8.75,0.699268,2573.7,1750.4,58,88,2,8,0,0,0,0,2,0,0,1.99683,2,10,146
hMOF-5028767,13.897447,25.639242,13.897441,89.968225,90.029327,89.985811,8.25,6.75,0.71095,2712.7,2230.9,14,80,4,34,0,10,0,0,8,0,0,1.74552,8,42,94
hMOF-5023644,21.295418,19.805405,19.805407,90.015038,90.027474,90.042223,6.25,4.25,0.577595,2170.2,1846.2,132,174,12,69,0,0,0,0,12,0,0,3.68916,12,81,306
hMOF-11957,12.759395,19.805404,19.805399,89.970203,89.981995,90.029915,12.25,10.75,0.782946,3953.7,2039.5,68,70,0,24,0,0,0,0,4,0,0,1.3378,4,28,138
hMOF-5038918,9.065218,14.04422,8.140239,89.995422,89.997198,89.102381,8.75,7.75,0.747375,3976.8,2758.7,2,12,2,8,0,0,0,0,2,0,0,0.387215,2,10,14
hMOF-27429,14.971486,14.971486,13.448316,89.988024,90.006165,83.614129,3.25,2.25,0.108622,8.1,16.8,30,114,6,24,0,42,0,6,0,0,0,0.772316,6,30,144
hMOF-5022663,21.295418,21.295418,12.759393,90.044954,89.964936,89.953405,17.25,16.25,0.847585,4688.3,1738.6,34,40,22,13,0,0,0,0,4,0,0,0.725598,4,17,74
hMOF-5039521,8.559649,13.10105,8.597278,94.263826,102.374898,87.117163,7.25,5.75,0.566299,2644.6,2161.5,5,13,3,8,0,0,0,0,2,0,0,0.382089,2,10,18
hMOF-12432,14.908571,12.759394,14.908308,86.731597,89.824947,86.711101,4.25,2.75,0.338828,247.1,375.9,14,106,26,26,0,0,0,0,8,0,0,2.55842,8,34,120
hMOF-9558,19.077236,14.908178,19.076919,91.159747,90.112677,95.467067,5.75,4.75,0.498815,1016.4,1319.3,33,120,12,39,0,33,0,0,12,0,0,3.1586,12,51,153
hMOF-4000224,16.793024,16.793047,33.586455,113.253857,66.21999,112.758327,8.75,5.25,0.669458,1728.2,2134.2,28,132,0,48,0,0,0,12,0,32,0,1.47198,12,60,160
hMOF-3000461,29.917948,29.917021,29.913391,60.005297,60.010472,59.993667,21.25,19.25,0.865289,5007.4,1337.4,144,114,8,56,0,0,0,0,8,0,0,0.532571,8,64,258
hMOF-5059020,11.792241,19.288865,17.766277,90.011603,90.0045,83.664832,11.25,9.75,0.746614,3394.7,1907,102,81,2,8,0,0,0,2,0,0,0,2.08278,2,10,183
hMOF-5041973,10.540535,10.540539,9.730217,89.998866,90.000969,84.524567,4.75,2.25,0.238078,150,274.4,18,32,2,8,0,14,0,0,2,0,0,1.8714,2,10,50
hMOF-7292,19.805407,13.032721,19.805399,82.844098,90.019573,97.204665,5.25,3.75,0.478492,1251.1,1417.1,27,114,0,39,33,0,0,0,12,0,0,7.18188,12,51,141
hMOF-26491,14.853567,14.853566,9.730217,90.001438,90.000542,83.634672,8.25,6.75,0.699668,2013.1,1984.1,13,48,2,8,0,11,0,0,2,0,0,4.07578,2,10,61
hMOF-5067753,19.288864,15.99535,17.766277,89.995869,89.976791,83.314311,13.75,12.75,0.816788,4384.7,1872.8,68,66,2,24,0,0,0,2,0,0,0,0.755807,2,26,134
hMOF-6003515,6.8179,11.102183,16.255661,93.854172,103.488922,108.603876,4.75,3.75,0.437801,793.5,924.8,24,35,0,15,0,0,2,0,0,0,0,3.77351,2,17,59
hMOF-37499,10.723023,15.538191,9.198806,90.002301,89.999839,65.869821,6.25,3.75,0.561408,1016.1,1228,38,58,2,8,0,0,0,2,0,0,0,4.95526,2,10,96
hMOF-5016582,21.395362,18.050589,18.050583,89.971909,89.962387,90.044101,13.25,11.25,0.811203,5347.1,2250.8,96,84,0,25,0,0,0,0,4,0,0,1.58347,4,29,180
hMOF-5062326,14.519709,12.99646,11.026607,90.002303,83.866919,90.000602,3.75,1.75,0.196037,132.4,178.3,36,66,6,24,0,0,0,6,0,0,0,0.690599,6,30,102
hMOF-5069783,17.699083,10.489741,16.176319,89.993511,89.998611,83.911094,14.25,13.25,0.787258,2611.3,1907.8,15,38,2,8,0,0,0,2,0,7,0,0.548743,2,10,53
hMOF-7002021,23.096457,20.875492,23.096457,121.69217,89.999737,58.315617,10.25,7.75,0.725288,3772.7,2410.6,23,88,10,32,31,0,0,0,0,0,6,0.863359,6,38,111
hMOF-2313,17.077404,19.805405,17.077396,89.971037,89.981638,90.024696,7.25,4.75,0.731661,2796.9,2658.8,32,88,0,26,0,0,0,0,8,16,0,1.51968,8,34,120
hMOF-21657,10.967916,10.908878,8.140239,89.997076,77.873734,107.315263,6.75,5.25,0.638619,2748.9,2350.2,12,14,2,8,0,0,0,0,2,0,0,1.12661,2,10,26
hMOF-5044620,9.065218,10.489741,8.140239,89.996756,89.997198,84.77753,5.75,4.75,0.434886,889,1336,3,14,2,8,0,0,0,0,2,3,0,1.06557,2,10,17
hMOF-5000796,13.897448,13.897449,18.215399,89.979342,90.026328,89.982475,12.75,11.75,0.865576,4147.9,1954.8,1,24,0,13,0,0,0,0,4,3,0,0.491499,4,17,25
hMOF-3001222,33.428889,33.428139,33.424847,60.004234,60.008465,59.994972,10.75,7.25,0.802169,5464.3,2379.6,384,292,16,112,0,0,0,16,0,0,0,0.687489,16,128,676
hMOF-5033481,29.839134,29.839131,29.839125,90.017709,89.97802,89.963719,11.75,10.75,0.85341,3111.4,2182.5,84,342,18,75,0,0,0,0,12,60,0,0.874199,12,87,426
hMOF-5004571,16.625545,13.03329,13.032268,105.155942,82.853439,97.154173,10.25,8.75,0.754266,3433.9,2165.1,24,44,0,13,0,0,0,0,4,0,0,1.76548,4,17,68
hMOF-5060919,10.654549,14.519731,9.130313,89.994496,89.997498,84.086815,8.25,7.25,0.689231,2894.2,2296.6,8,20,12,8,0,0,0,2,0,0,0,0.922934,2,10,28
hMOF-5064700,10.723024,14.04422,9.198806,89.995861,89.996352,88.828373,3.75,2.25,0.168781,28.9,39.1,20,32,4,26,0,0,0,4,0,0,0,0.208726,4,30,52
hMOF-5018247,15.297476,18.050589,15.298259,80.289521,88.370467,80.331867,6.75,3.25,0.539257,1524.3,1478.1,88,114,0,26,0,0,0,0,8,0,0,4.34997,8,34,202
hMOF-5057782,27.731993,14.519709,13.596369,90.006934,90.006205,96.849731,7.75,4.75,0.792593,4119.3,2822.2,18,100,8,24,14,0,0,0,4,0,0,2.41821,4,28,118
hMOF-1003097,6.8179,7.190334,15.86687,74.030337,102.655915,60.611776,2.75,1.75,0.00908969,0,0,28,31,0,10,0,0,2,0,0,0,0,0,2,12,59
hMOF-7002730,27.44028,14.446369,14.446369,60.00025,89.996616,59.995166,7.75,4.75,0.44972,713.5,1328.6,39,86,2,36,0,0,0,0,0,29,6,1.2131,6,42,125
hMOF-1822,18.215407,18.215405,11.169409,89.961391,89.978878,90.021279,14.75,13.25,0.857844,5023.9,1994.1,4,28,0,13,4,0,0,0,4,0,0,0.544679,4,17,32
hMOF-1002834,6.8179,9.58286,15.185463,92.759972,104.264314,111.206767,6.25,5.75,0.771952,1367.7,1975.9,5,22,0,10,0,0,2,0,0,3,0,4.55001,2,12,27
hMOF-5070708,14.519709,10.489716,12.99646,89.997908,90.000034,84.10464,10.25,8.75,0.728576,4083.8,2340.6,24,31,2,8,0,0,0,2,0,0,0,0.486493,2,10,55
hMOF-9409,19.805407,14.908178,19.805399,93.324276,90.019573,93.313831,5.75,4.25,0.523174,1497.5,1614.3,45,132,0,39,0,21,0,0,12,0,0,4.57135,12,51,177
hMOF-5050452,17.038275,13.101018,14.04419,86.339369,87.848219,86.40087,12.75,11.75,0.833349,5148.9,2074.7,22,28,10,8,0,0,0,0,2,0,0,0.489779,2,10,50
hMOF-5009470,12.64533,12.759401,12.759393,90.022649,89.969952,89.984935,8.75,7.75,0.543367,1053.1,1730.6,9,30,0,13,0,0,0,0,4,15,0,1.30031,4,17,39
hMOF-5038234,14.519709,10.868271,11.792241,89.994719,83.93678,90.001824,4.75,3.25,0.270102,377.8,487.1,0,48,6,24,0,0,0,0,6,0,0,0.511648,6,30,48
hMOF-18032,9.065218,16.109301,8.140239,89.99506,89.997198,84.238683,2.25,1.75,0.0271314,0,0,12,48,6,24,0,0,0,0,6,0,0,0,6,30,60
hMOF-5059337,9.065215,11.792254,7.540329,89.996229,89.997574,84.606648,3.25,2.75,0.0949953,0,0,0,20,4,16,0,0,0,4,0,0,0,0,4,20,20
hMOF-5012363,18.101398,18.101397,18.101389,90.021047,90.024802,90.018196,17.25,15.75,0.845695,5350.2,1944.6,36,42,0,31,0,0,0,0,4,0,0,0.654734,4,35,78
hMOF-5054123,10.65455,23.532407,9.730223,89.994043,89.996251,83.66679,8.25,6.75,0.68768,2061.1,1789,24,44,28,12,0,0,0,0,2,0,0,1.44783,2,14,68
hMOF-23785,14.971486,9.730223,14.971486,89.999766,96.385871,89.997868,10.25,9.25,0.777198,2147.7,2128.4,15,36,2,8,0,0,0,0,2,7,0,1.39586,2,10,51
hMOF-642,21.395364,21.395361,21.395355,89.978489,89.975448,90.045659,11.25,6.75,0.81091,5521.8,2596,72,120,0,46,0,0,0,0,8,0,0,0.77253,8,54,192
hMOF-5033556,29.839135,29.839131,29.839126,89.968194,89.976855,90.037758,24.75,24.75,0.951546,5107.8,898.1,22,140,32,25,0,0,0,0,4,0,0,0.673038,4,29,162
hMOF-5069544,10.489741,10.489741,9.130313,89.999004,90.002436,84.539174,4.25,2.75,0.342885,134.8,184.4,48,41,2,8,0,0,0,2,0,0,0,3.09273,2,10,89
hMOF-1003600,20.875641,12.970454,12.970454,60.000396,89.998762,57.589438,7.25,3.75,0.436356,671.5,991.6,52,66,2,44,0,0,0,0,0,0,6,3.12442,6,50,118
hMOF-5049288,16.109301,17.038272,15.186229,89.995962,89.999362,87.286518,5.75,4.25,0.670188,2748.6,2291.7,36,72,48,16,0,0,0,0,4,0,0,2.89682,4,20,108
hMOF-5021782,16.625548,19.120786,16.625539,87.528626,89.979432,92.466188,7.25,5.25,0.602662,2105.2,1991.4,18,96,0,39,0,12,0,0,12,0,0,2.63327,12,51,114
hMOF-5081630,27.732066,27.731993,15.455313,92.646914,87.353257,82.635246,23.25,21.75,0.934262,5619.7,1244.6,40,86,8,16,0,0,0,2,0,0,0,0.548915,2,18,126
hMOF-2000411,38.077507,38.067005,38.067077,89.996982,59.999325,60.000154,24.75,21.75,0.924185,5095.2,1245.5,54,240,0,48,66,0,0,0,12,0,0,1.39803,12,60,294
hMOF-5009598,11.169417,12.64533,11.169409,89.967722,89.980176,90.01857,8.25,7.75,0.623184,2498.9,2277.3,12,18,12,13,0,0,0,0,4,0,0,1.99324,4,17,30
hMOF-5003140,12.759401,16.625546,12.759393,90.036194,90.018496,90.022629,11.25,9.75,0.783717,3474,2101.9,36,40,0,13,0,0,0,0,4,0,0,2.09371,4,17,76
hMOF-32364,17.699083,17.699082,16.176319,89.99513,90.006703,96.717418,16.25,14.75,0.875285,5059.1,1722.9,52,58,2,8,0,0,0,2,0,0,0,1.45974,2,10,110
hMOF-1004283,17.052832,23.196402,23.196401,60.008822,102.328588,67.55181,11.25,10.25,0.687223,2950.6,2078.6,88,98,26,32,0,0,0,0,0,0,6,1.28794,6,38,186
hMOF-5058070,15.995292,27.732048,15.07222,89.993868,89.98633,83.055635,14.75,13.25,0.871175,4400.2,1925.8,23,62,4,12,0,17,0,0,2,0,0,0.580321,2,14,85
hMOF-5081756,8.559649,8.63474,7.088929,82.809607,84.675669,94.825514,5.25,3.75,0.41522,663.3,1161,4,8,2,8,0,0,0,2,0,2,0,1.52554,2,10,12
hMOF-5031222,12.759401,29.839131,12.759393,89.963184,89.979062,90.042945,10.75,9.25,0.79459,3308,2085.7,23,78,2,17,17,0,0,0,4,0,0,2.78933,4,21,101
hMOF-5061889,16.992694,14.519709,15.455313,92.669068,87.142206,87.174184,6.75,5.25,0.641749,2846.7,2275.8,18,78,26,16,0,0,0,4,0,0,0,2.01494,4,20,96
hMOF-5040673,14.519709,14.04422,13.596369,89.993157,90.000291,88.434511,5.75,3.75,0.438138,1422.6,1352.6,6,60,6,24,0,0,0,0,6,0,0,0.750415,6,30,66
hMOF-5048365,15.944551,14.04422,13.101039,93.659868,93.361595,91.656192,11.25,9.75,0.800127,5689.2,2514.3,34,38,2,8,0,0,0,0,2,0,0,0.625457,2,10,72
hMOF-5081592,27.732048,17.699083,16.176319,90.007696,90.001929,82.962835,12.25,10.75,0.818521,4138.3,1842.8,80,138,4,12,0,0,0,2,0,0,0,1.4387,2,14,218
hMOF-5013683,12.759401,12.594516,12.759393,89.97195,89.979062,90.017577,9.75,8.75,0.738968,3208.2,2301.9,20,29,0,16,0,0,0,0,4,0,0,1.5583,4,20,49
hMOF-5053055,14.044191,19.188924,13.101039,93.348752,86.337551,88.16687,4.75,3.75,0.379808,617,815.2,15,84,18,24,0,21,0,0,6,0,0,2.24253,6,30,99
hMOF-5040953,14.044209,13.101039,14.04422,93.667477,93.188415,86.340786,13.25,12.25,0.836221,5762.3,2185.4,3,20,2,8,3,0,0,0,2,0,0,0.322832,2,10,23
hMOF-5081389,9.065218,27.732048,7.540329,89.99148,89.996962,83.82927,5.75,4.25,0.780387,2147.7,2066.4,44,56,4,12,0,0,0,2,0,0,0,8.09133,2,14,100
hMOF-5052034,19.18893,10.967874,10.065918,111.757653,99.848379,83.943308,4.25,3.25,0.281019,255.2,418.9,14,48,12,16,0,18,0,0,4,0,0,1.91689,4,20,62
hMOF-5070886,10.489746,10.489741,12.503552,86.444084,93.55637,84.540238,3.25,1.75,0.0348123,0,0,28,48,4,28,0,0,0,4,0,0,0,0,4,32,76
hMOF-5037790,10.654562,14.519709,9.730223,89.997715,89.996961,84.085124,7.75,6.75,0.619028,2089.1,1958.6,26,35,2,15,0,0,0,0,2,0,0,1.43494,2,17,61
hMOF-5068459,15.995343,15.99535,14.47231,89.998838,89.991294,96.509221,5.75,3.25,0.456699,1232.1,1201,72,76,4,54,0,0,0,4,0,0,0,1.71136,4,58,148
hMOF-32718,11.026607,11.026607,9.4829,78.613859,78.618164,71.413983,7.75,6.75,0.579909,2536.6,2039.7,10,16,4,8,0,0,0,2,0,0,0,0.499427,2,10,26
hMOF-1001135,6.8179,19.551136,11.168136,94.562875,108.508683,101.650842,4.75,3.25,0.464082,1075.7,1131.6,5,37,11,10,0,0,2,0,0,0,0,2.48856,2,12,42
hMOF-5003127,12.759401,16.625546,16.625539,90.028532,90.013884,90.022629,3.25,2.25,0.205395,6.3,9.8,48,116,0,52,0,0,0,0,16,0,0,0.576262,16,68,164
hMOF-5008104,12.759395,16.120256,12.759394,87.12359,89.983626,92.880601,9.25,7.75,0.741346,3326.1,2346.3,18,40,0,22,0,0,0,0,4,0,0,1.99503,4,26,58
hMOF-1001048,6.8179,9.109307,9.514088,93.164333,118.843545,111.764999,1.75,0.25,7.07E-09,0,0,8,16,0,20,0,0,4,0,0,0,0,0,4,24,24
hMOF-19612,16.956995,16.992695,16.053948,92.712453,93.030629,83.361347,5.75,3.25,0.427744,867.2,971.8,42,114,24,24,30,0,0,0,6,0,0,2.79982,6,30,156
hMOF-5007701,16.12053,16.120484,16.120297,95.614431,89.87186,89.832673,4.75,2.75,0.344819,587.8,741.5,40,104,0,52,0,0,0,0,16,0,0,0.840416,16,68,144
hMOF-12981,18.215405,18.215407,18.215399,90.019833,90.027541,90.02318,6.25,3.75,0.564436,1910.1,1593.6,78,129,0,39,0,0,0,0,12,0,0,2.08198,12,51,207
hMOF-5002974,21.395362,16.625546,21.395355,90.018476,90.04394,90.038346,19.25,18.25,0.889338,4376.4,1482.4,10,48,0,13,0,14,0,0,4,0,0,0.71969,4,17,58
hMOF-5045940,14.044191,10.489711,13.101039,93.399879,86.337551,88.859393,4.75,2.75,0.292535,330.8,407.7,36,68,4,16,0,0,0,0,4,0,0,1.56035,4,20,104
hMOF-5047210,15.944493,15.944493,10.065875,98.793649,81.254849,83.475044,11.75,10.25,0.802744,6174.6,2747.6,16,30,2,8,0,0,0,0,2,0,0,0.555071,2,10,46
hMOF-5010549,12.64533,16.959455,16.959447,90.014322,89.97393,89.985361,5.75,2.75,0.414365,418.5,763.2,32,92,0,26,0,0,0,0,8,24,0,2.63323,8,34,124
hMOF-9212,14.908571,11.169416,11.169409,89.969126,93.316289,93.293179,8.25,7.25,0.7622,3557.4,2568,12,23,0,16,0,0,0,0,4,0,0,1.1494,4,20,35
hMOF-5063493,14.519709,14.519731,12.99646,89.992872,90.000034,83.684499,16.25,14.75,0.878037,5664.2,1807.3,0,20,2,8,0,0,0,2,0,0,0,0.236002,2,10,20
hMOF-3001456,28.938199,28.937346,28.934044,60.005004,60.009897,59.99406,10.75,8.25,0.825483,4771.4,2291,40,132,16,64,56,0,0,16,0,0,0,0.389046,16,80,172
hMOF-6000787,6.8179,9.58286,14.858572,92.654604,104.524003,111.206767,1.75,1.75,1.69E-20,0,0,0,48,0,40,0,0,8,0,0,0,0,0,8,48,48
hMOF-5014261,12.594517,18.215405,18.215399,89.969449,89.979999,90.024685,4.75,2.75,0.308986,380.5,480.8,42,102,36,39,0,0,0,0,12,0,0,1.6407,12,51,144
hMOF-5060570,11.792241,10.654541,9.130307,89.996917,90.002681,84.338672,6.75,5.25,0.62777,1306.3,1451.2,24,38,2,8,0,0,0,2,0,0,0,4.32198,2,10,62
hMOF-12006,12.759387,19.077105,19.076808,90.072392,87.665428,92.320263,7.75,3.25,0.622871,1817.3,1568,84,106,8,26,0,0,0,0,8,0,0,4.10662,8,34,190
hMOF-5029222,12.645331,25.639239,12.645323,90.031874,90.01801,90.039097,11.25,10.25,0.817954,4260.2,2026.3,36,48,2,17,0,0,0,0,4,0,0,0.857313,4,21,84
hMOF-3001017,20.29948,20.298645,20.294903,60.007695,60.015306,59.991039,6.75,3.75,0.595539,2793.5,2424.6,52,62,16,64,0,0,0,0,16,0,0,0.481177,16,80,114
hMOF-5024496,14.908783,21.295411,14.90852,86.719867,83.208414,86.67468,10.25,8.75,0.74503,3566.6,2066.2,52,88,4,13,0,0,0,0,4,0,0,1.43368,4,17,140
hMOF-3001276,33.510554,33.509711,33.50647,60.004186,60.008358,59.99476,24.75,24.75,0.933809,5987.1,907.9,72,74,32,32,0,0,0,8,0,0,0,0.382041,8,40,146
hMOF-5020155,11.169417,19.121063,11.169409,92.400842,89.979436,92.469728,6.25,4.75,0.610585,2474.6,2113,34,60,0,13,0,0,0,0,4,0,0,3.12208,4,17,94
hMOF-17865,19.288864,16.109301,18.366186,89.992337,89.977106,83.298863,16.75,15.75,0.877124,5715,1727.5,48,58,2,8,0,0,0,0,2,0,0,0.654224,2,10,106
hMOF-5049464,16.992694,17.038272,16.053802,92.751609,87.249047,90.88989,16.25,14.25,0.84037,4390.4,1763.1,26,40,6,25,0,0,0,0,2,0,0,0.399731,2,27,66
hMOF-5044030,14.519709,15.99535,13.596369,89.996243,90.000291,83.58626,12.75,11.25,0.847052,5815.3,2157.8,18,26,8,8,0,0,0,0,2,0,0,0.321781,2,10,44
hMOF-5066812,10.54051,9.198806,10.540539,90.001893,95.480599,89.999296,5.75,5.25,0.327462,501.2,630.5,41,22,15,8,0,0,0,2,0,0,0,1.47879,2,10,63
hMOF-5036671,17.699083,14.519709,16.776229,89.992406,89.998886,83.48158,12.25,10.75,0.829337,5509.4,2066.6,40,48,2,12,0,0,0,0,2,0,0,0.536646,2,14,88
hMOF-5029679,18.050591,25.639239,18.050582,89.974655,89.978183,90.034692,13.75,11.75,0.824204,5596.1,2134.7,84,86,2,32,0,0,0,0,4,0,0,1.19008,4,36,170
hMOF-3000881,27.435584,27.434948,27.431174,60.005483,60.011353,59.993028,9.25,7.75,0.756245,4748.5,2612.3,196,166,16,86,0,0,0,0,16,0,0,0.622964,16,102,362
hMOF-5020469,19.121112,19.120786,19.805399,92.46893,92.456608,89.915581,19.25,18.25,0.884442,4860,1485.3,28,48,0,29,0,0,0,0,4,0,0,0.667174,4,33,76
